Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date
Central America and the Caribbean,Jamaica,Meat,Online,L,3/2/13,799423444,3/25/13
Europe,Bulgaria,Snacks,Online,H,3/11/10,731068313,4/28/10
Asia,Kazakhstan,Household,Offline,H,7/29/14,526880967,8/28/14
Sub-Saharan Africa,Rwanda,Clothes,Online,H,4/16/12,240035235,5/23/12
Central America and the Caribbean,Grenada,Cosmetics,Offline,C,1/31/13,444017446,3/18/13
Central America and the Caribbean,Honduras,Office Supplies,Online,H,6/1/16,882626426,6/28/16
Asia,Mongolia,Office Supplies,Online,M,3/27/15,919973504,4/5/15
Central America and the Caribbean,Belize,Meat,Offline,M,11/28/14,890482509,12/12/14
North America,United States of America,Meat,Offline,H,4/22/14,748889768,5/14/14
Sub-Saharan Africa,South Africa,Meat,Offline,C,2/21/17,520244109,2/25/17
Europe,Austria,Vegetables,Online,C,1/19/13,749906861,3/6/13
Australia and Oceania,Marshall Islands,Snacks,Offline,C,9/2/11,253551852,9/20/11
Sub-Saharan Africa,Sierra Leone,Household,Offline,C,2/13/16,167165410,2/21/16
Europe,Romania,Meat,Offline,L,8/28/11,797046363,10/6/11
Asia,Malaysia,Clothes,Offline,M,11/24/14,269806039,1/10/15
Europe,Hungary,Cosmetics,Offline,C,1/5/17,382368266,1/13/17
Australia and Oceania,New Zealand,Beverages,Offline,M,3/30/10,751969373,4/11/10
Sub-Saharan Africa,Mozambique,Office Supplies,Offline,C,5/25/14,166158187,6/30/14
Sub-Saharan Africa,Namibia,Beverages,Offline,M,6/25/12,632796037,7/14/12
Middle East and North Africa,Tunisia ,Personal Care,Offline,M,1/30/15,630056750,3/12/15
Middle East and North Africa,Somalia,Office Supplies,Online,L,2/11/11,956426656,3/26/11
Europe,Denmark,Personal Care,Online,L,1/30/17,680704581,2/3/17
Australia and Oceania,Solomon Islands,Beverages,Offline,L,9/3/12,292001855,9/24/12
Australia and Oceania,Vanuatu,Vegetables,Online,H,9/26/12,349742305,10/19/12
Asia,Singapore,Meat,Offline,C,6/13/10,133662259,6/19/10
Europe,Luxembourg,Fruits,Online,C,6/4/11,793810546,6/7/11
Australia and Oceania,Australia,Cereal,Online,M,10/6/14,400548493,10/17/14
Asia,Brunei,Household,Online,M,11/3/16,694549930,11/17/16
Australia and Oceania,Papua New Guinea,Vegetables,Offline,C,2/10/15,336801183,2/21/15
Europe,Romania,Personal Care,Online,M,11/12/11,758601081,12/21/11
Asia,Kyrgyzstan,Personal Care,Offline,H,6/18/10,311560952,8/4/10
Sub-Saharan Africa,Chad,Clothes,Online,H,7/18/11,117604625,8/8/11
Middle East and North Africa,Somalia,Cereal,Online,C,10/25/16,918968427,11/10/16
Sub-Saharan Africa,Togo,Clothes,Offline,L,2/11/10,828201186,3/2/10
Sub-Saharan Africa,Mali,Household,Online,L,3/17/14,278164231,4/21/14
Europe,San Marino,Snacks,Online,M,4/11/11,672031390,4/13/11
Europe,Croatia,Baby Food,Online,L,11/8/14,333288991,12/6/14
Asia,Taiwan,Baby Food,Offline,H,1/16/13,355735862,1/19/13
Central America and the Caribbean,Barbados,Meat,Offline,M,2/23/10,553483331,3/29/10
Sub-Saharan Africa,Equatorial Guinea,Cosmetics,Offline,H,4/30/15,810955226,5/15/15
Central America and the Caribbean,Guatemala,Vegetables,Online,M,2/3/16,632887876,2/7/16
Europe,United Kingdom,Household,Offline,L,5/12/12,494330108,6/29/12
Sub-Saharan Africa,Equatorial Guinea,Vegetables,Online,L,9/18/12,490643250,9/20/12
Sub-Saharan Africa,Tanzania,Snacks,Offline,L,6/2/15,787501132,6/20/15
Europe,Ukraine,Fruits,Offline,H,3/28/12,270890080,4/1/12
North America,Canada,Snacks,Offline,M,12/9/14,597108924,12/19/14
Sub-Saharan Africa,Eritrea,Office Supplies,Offline,M,8/17/13,342768990,10/4/13
Europe,Georgia,Fruits,Offline,L,11/2/10,854794108,11/20/10
Europe,Poland,Cereal,Online,C,3/1/10,400420606,4/4/10
North America,Mexico,Clothes,Online,C,6/27/12,917197310,8/15/12
Australia and Oceania,Papua New Guinea,Baby Food,Online,M,3/5/12,362985551,4/1/12
Europe,Ukraine,Meat,Offline,M,1/8/16,365959155,1/31/16
Sub-Saharan Africa,Niger,Beverages,Offline,L,9/24/16,374604451,9/26/16
Australia and Oceania,New Zealand,Household,Offline,H,11/16/11,807720267,12/8/11
Sub-Saharan Africa,Nigeria,Cosmetics,Online,M,3/22/15,804417932,5/10/15
Sub-Saharan Africa,Madagascar,Beverages,Offline,C,2/9/15,474121272,3/22/15
Asia,Kazakhstan,Baby Food,Online,M,1/30/16,446566617,2/16/16
Middle East and North Africa,Kuwait,Clothes,Online,C,5/20/12,521802794,6/26/12
Sub-Saharan Africa,Gabon,Fruits,Offline,L,6/26/14,120191133,7/17/14
Central America and the Caribbean,El Salvador,Personal Care,Online,C,12/21/14,532405459,1/20/15
Europe,Sweden,Personal Care,Offline,M,1/28/15,869432103,3/5/15
Sub-Saharan Africa,Angola,Vegetables,Online,L,4/24/13,312569892,4/25/13
Asia,Sri Lanka,Office Supplies,Online,L,10/28/16,363430154,10/28/16
Europe,Cyprus,Clothes,Online,C,11/22/14,793936717,1/8/15
Central America and the Caribbean,Honduras,Snacks,Offline,M,1/4/13,996325910,1/20/13
Sub-Saharan Africa,Ethiopia,Meat,Online,C,12/11/13,433146560,1/4/14
Europe,Denmark,Beverages,Online,M,12/16/13,887259995,2/1/14
Europe,Iceland,Household,Online,M,3/2/14,611840045,3/2/14
Sub-Saharan Africa,Liberia,Cereal,Online,L,9/28/16,180373036,10/14/16
Sub-Saharan Africa,South Africa,Meat,Online,H,7/29/13,236657798,8/9/13
Sub-Saharan Africa,Mali,Beverages,Online,L,10/2/12,144805657,10/17/12
Middle East and North Africa,Egypt,Personal Care,Online,C,1/30/12,239240443,3/20/12
Europe,Moldova ,Meat,Offline,C,6/3/10,474698483,7/18/10
Europe,Montenegro,Personal Care,Offline,H,6/28/11,876228606,7/20/11
Australia and Oceania,Nauru,Household,Online,L,6/30/12,189192140,7/16/12
Asia,Sri Lanka,Household,Offline,H,7/2/15,829262912,8/21/15
Australia and Oceania,Kiribati,Cosmetics,Offline,L,1/19/16,332427251,1/26/16
Sub-Saharan Africa,Senegal,Baby Food,Online,C,7/21/14,804983985,8/3/14
Middle East and North Africa,Iran,Office Supplies,Offline,M,6/23/12,373544442,6/28/12
Central America and the Caribbean,Grenada,Cosmetics,Online,M,2/20/16,835032451,2/29/16
Sub-Saharan Africa,Democratic Republic of the Congo,Meat,Online,M,3/16/10,906684339,3/29/10
Europe,Vatican City,Snacks,Offline,L,6/26/14,276048934,8/9/14
Sub-Saharan Africa,South Sudan,Vegetables,Online,C,12/26/11,950987565,2/7/12
Asia,North Korea,Vegetables,Offline,M,4/15/13,509674060,5/22/13
Middle East and North Africa,Jordan,Household,Offline,L,11/22/14,650594747,12/12/14
Sub-Saharan Africa,Sao Tome and Principe,Meat,Offline,M,7/28/10,442548453,8/18/10
Europe,Romania,Clothes,Offline,H,4/25/10,374646508,5/29/10
Sub-Saharan Africa,Seychelles ,Fruits,Online,M,10/24/13,106312739,12/4/13
Sub-Saharan Africa,Gabon,Clothes,Offline,H,4/4/14,717283475,5/10/14
Middle East and North Africa,Tunisia ,Cereal,Offline,C,4/1/17,657607543,4/3/17
Europe,France,Household,Offline,M,4/28/14,697646272,6/5/14
Europe,Montenegro,Fruits,Online,M,1/1/17,778073489,1/28/17
Sub-Saharan Africa,Mali,Cosmetics,Offline,C,2/28/15,459875524,3/17/15
Asia,Taiwan,Snacks,Online,L,2/3/11,274351203,3/21/11
Australia and Oceania,Fiji,Meat,Offline,M,9/25/15,373111855,10/7/15
Middle East and North Africa,Lebanon,Personal Care,Offline,M,7/29/14,978081309,8/2/14
Sub-Saharan Africa,Guinea,Baby Food,Offline,H,11/23/16,131495893,12/17/16
Sub-Saharan Africa,Sierra Leone,Baby Food,Online,H,2/8/14,445904433,2/17/14
Central America and the Caribbean,Honduras,Office Supplies,Offline,M,10/30/13,554168260,11/14/13
North America,Greenland,Vegetables,Offline,M,5/22/13,959461200,6/22/13
Asia,Indonesia,Meat,Offline,C,3/6/11,885269582,3/18/11
Sub-Saharan Africa,Togo,Clothes,Offline,C,6/9/10,525392234,6/10/10
Sub-Saharan Africa,Mauritius ,Personal Care,Online,H,6/24/15,593940484,6/28/15
Sub-Saharan Africa,Sierra Leone,Snacks,Offline,M,9/26/12,975338160,10/10/12
Asia,Cambodia,Beverages,Online,C,6/10/12,274321591,7/21/12
Central America and the Caribbean,Jamaica,Vegetables,Offline,L,7/9/14,765939605,8/7/14
Australia and Oceania,Kiribati,Vegetables,Online,C,5/24/12,745553529,6/30/12
Central America and the Caribbean,Dominican Republic,Vegetables,Offline,L,11/29/11,378837192,12/11/11
Asia,Tajikistan,Office Supplies,Online,M,5/28/12,351776921,6/14/12
Europe,Netherlands,Beverages,Offline,M,7/2/10,520671546,8/21/10
Europe,Iceland,Household,Offline,C,6/11/11,362132394,7/2/11
Asia,Taiwan,Beverages,Offline,C,3/14/10,323083293,4/16/10
Sub-Saharan Africa,Gabon,Fruits,Offline,L,5/12/10,470760571,6/30/10
Sub-Saharan Africa,Guinea-Bissau,Snacks,Online,M,10/23/12,942713057,11/13/12
North America,United States of America,Cereal,Online,L,11/30/11,596802079,12/14/11
Sub-Saharan Africa,Rwanda,Snacks,Offline,M,6/18/14,161201465,7/22/14
Europe,Cyprus,Household,Online,H,3/3/13,884397542,4/17/13
Asia,Brunei,Cosmetics,Online,M,3/4/13,485189139,3/6/13
Sub-Saharan Africa,Seychelles ,Personal Care,Offline,M,2/4/13,802687585,3/2/13
Middle East and North Africa,Jordan,Office Supplies,Online,C,6/3/16,146316707,6/25/16
Middle East and North Africa,Pakistan,Snacks,Online,M,7/20/12,945812833,7/30/12
Central America and the Caribbean,Barbados,Fruits,Offline,C,11/15/10,301224792,11/15/10
Sub-Saharan Africa,Comoros,Meat,Online,M,4/13/14,332913911,4/25/14
Central America and the Caribbean,The Bahamas,Clothes,Online,L,5/15/15,531554019,5/21/15
Sub-Saharan Africa,South Sudan,Baby Food,Online,H,5/13/15,908131444,5/19/15
Sub-Saharan Africa,Nigeria,Cosmetics,Offline,M,10/10/12,643945014,11/2/12
Europe,Ukraine,Beverages,Offline,M,10/4/14,340606057,11/4/14
Europe,France,Cosmetics,Online,C,8/2/10,670038402,9/16/10
Sub-Saharan Africa,Burundi,Office Supplies,Online,M,4/29/13,124478375,6/7/13
Middle East and North Africa,Syria,Vegetables,Offline,H,8/7/10,866474807,9/4/10
Sub-Saharan Africa,Botswana,Fruits,Online,L,10/25/13,178889024,12/5/13
Australia and Oceania,Papua New Guinea,Snacks,Offline,H,7/7/16,814894855,8/20/16
Asia,Kazakhstan,Cosmetics,Offline,M,4/20/13,647978627,5/5/13
Middle East and North Africa,Jordan,Clothes,Online,M,3/16/11,321939170,4/8/11
Central America and the Caribbean,Dominican Republic,Personal Care,Online,H,9/30/10,100887811,11/19/10
Sub-Saharan Africa,Namibia,Beverages,Online,C,4/19/17,319248378,5/1/17
Europe,Hungary,Household,Online,H,7/31/14,931757199,9/14/14
Asia,Malaysia,Snacks,Offline,C,11/18/13,163463103,12/5/13
Sub-Saharan Africa,Burundi,Cosmetics,Offline,L,5/30/12,359727418,6/13/12
Europe,Estonia,Clothes,Offline,C,3/24/12,336223971,4/1/12
Asia,Malaysia,Beverages,Offline,L,6/15/16,328939092,7/19/16
Europe,Bosnia and Herzegovina,Household,Offline,L,5/8/10,644171607,5/25/10
Europe,Finland,Fruits,Online,L,7/12/10,308532845,8/24/10
Sub-Saharan Africa,Tanzania,Office Supplies,Offline,H,9/26/15,218946635,11/4/15
North America,United States of America,Vegetables,Offline,C,8/21/10,892649304,10/2/10
Europe,Austria,Meat,Offline,C,1/16/15,217189681,2/15/15
Australia and Oceania,Tonga,Cereal,Online,L,12/17/11,200429093,1/30/12
Sub-Saharan Africa,Zambia,Fruits,Offline,C,12/21/11,220541369,1/2/12
Middle East and North Africa,Morocco,Baby Food,Online,C,7/27/11,176012837,8/22/11
Europe,Monaco,Personal Care,Online,M,2/9/12,935642325,2/24/12
Asia,Cambodia,Clothes,Online,H,12/31/15,288541162,1/25/16
Sub-Saharan Africa,Lesotho,Office Supplies,Offline,H,5/13/15,594133174,6/18/15
Europe,Portugal,Fruits,Online,L,12/18/10,232154691,1/30/11
Middle East and North Africa,Afghanistan,Cosmetics,Offline,M,12/23/15,352654540,1/22/16
Sub-Saharan Africa,Nigeria,Meat,Online,C,5/11/14,825994050,6/23/14
Australia and Oceania,Kiribati,Cereal,Offline,C,1/23/10,692847049,2/10/10
Sub-Saharan Africa,Comoros,Cosmetics,Offline,M,9/7/15,414199864,9/8/15
Sub-Saharan Africa,Namibia,Vegetables,Offline,C,10/17/10,521351325,11/18/10
Sub-Saharan Africa,Sierra Leone,Household,Online,C,11/25/13,265912759,12/1/13
Sub-Saharan Africa,The Gambia,Personal Care,Online,C,7/3/10,769807994,7/19/10
Europe,Germany,Cereal,Online,C,6/12/17,975273358,6/21/17
Sub-Saharan Africa,Tanzania,Office Supplies,Offline,H,12/31/10,794857680,1/28/11
Europe,Slovenia,Office Supplies,Offline,M,12/3/13,661422288,12/27/13
Sub-Saharan Africa,Benin,Cereal,Offline,L,12/22/15,178141009,1/29/16
Sub-Saharan Africa,Mauritius ,Cosmetics,Offline,M,7/18/15,368500173,8/12/15
Sub-Saharan Africa,Ethiopia,Personal Care,Online,L,11/17/15,526298606,12/15/15
Asia,Turkmenistan,Beverages,Online,M,9/15/13,465647637,9/16/13
Asia,Kyrgyzstan,Clothes,Offline,C,8/14/10,970971095,9/25/10
Europe,Slovenia,Household,Online,C,11/2/16,647005307,11/7/16
Sub-Saharan Africa,Lesotho,Cosmetics,Online,C,2/24/17,868799102,4/3/17
Middle East and North Africa,Jordan,Office Supplies,Offline,L,7/19/12,831713807,9/6/12
Europe,France,Beverages,Offline,C,6/13/16,701423251,7/19/16
Sub-Saharan Africa,Lesotho,Clothes,Online,H,1/17/13,263913762,1/25/13
Europe,Malta,Cosmetics,Offline,L,2/8/14,275484168,2/24/14
Asia,Maldives,Cosmetics,Online,L,4/21/17,212745797,5/13/17
Australia and Oceania,Marshall Islands,Clothes,Online,M,1/12/10,522622478,2/7/10
Asia,Sri Lanka,Household,Online,L,1/12/11,372350537,2/23/11
Asia,Laos,Baby Food,Offline,H,8/10/13,799478805,8/31/13
Middle East and North Africa,Jordan,Vegetables,Online,H,2/16/12,661868607,3/18/12
Middle East and North Africa,Somalia,Office Supplies,Offline,M,5/19/13,687693774,6/10/13
Sub-Saharan Africa,Sierra Leone,Household,Online,H,1/31/10,325440633,2/14/10
Asia,Tajikistan,Snacks,Online,H,12/11/14,893908011,12/21/14
Australia and Oceania,Marshall Islands,Cosmetics,Online,C,6/12/11,632207238,7/13/11
Central America and the Caribbean,Saint Vincent and the Grenadines,Cosmetics,Online,H,8/21/10,549762141,9/21/10
Europe,Romania,Beverages,Online,L,1/24/17,376309049,2/25/17
Australia and Oceania,Tuvalu,Snacks,Online,C,5/29/17,811896789,7/10/17
Sub-Saharan Africa,Equatorial Guinea,Beverages,Offline,L,7/21/14,376886689,8/21/14
Central America and the Caribbean,Cuba,Cosmetics,Online,L,3/27/16,361952579,4/7/16
Europe,Bulgaria,Household,Online,H,2/14/16,778080785,2/18/16
Asia,Myanmar,Fruits,Online,M,9/18/12,806570136,10/10/12
Australia and Oceania,Solomon Islands,Household,Online,L,3/1/13,149031960,4/10/13
Europe,Montenegro,Snacks,Online,H,4/29/14,377390086,5/18/14
Sub-Saharan Africa,Malawi,Cereal,Online,C,2/11/14,883880841,3/22/14
Sub-Saharan Africa,Mali,Vegetables,Online,L,4/20/15,231053054,4/30/15
Asia,Maldives,Snacks,Online,M,2/23/14,201768052,3/9/14
Central America and the Caribbean,Nicaragua,Cosmetics,Offline,H,10/7/11,849199664,10/21/11
Europe,Germany,Meat,Offline,L,5/2/10,946834218,6/13/10
Central America and the Caribbean,Belize,Fruits,Offline,C,11/18/16,238470542,12/2/16
Europe,Montenegro,Meat,Offline,C,10/14/16,788219964,10/25/16
Central America and the Caribbean,Antigua and Barbuda ,Office Supplies,Online,C,6/2/15,230506312,6/5/15
Europe,Ireland,Baby Food,Online,C,8/23/11,320065915,9/15/11
Sub-Saharan Africa,Guinea,Fruits,Offline,L,9/30/16,181947600,11/10/16
Europe,Russia,Beverages,Online,H,10/19/12,361512696,11/29/12
Central America and the Caribbean,Nicaragua,Beverages,Online,L,1/1/17,574435031,2/15/17
Middle East and North Africa,Yemen,Beverages,Offline,H,5/1/17,156700932,6/10/17
Sub-Saharan Africa,Mauritania,Meat,Online,M,3/12/14,314609229,4/30/14
Central America and the Caribbean,Costa Rica,Vegetables,Offline,H,8/17/16,974771249,8/25/16
Middle East and North Africa,Tunisia ,Snacks,Online,H,10/22/15,334110820,12/7/15
Europe,Montenegro,Vegetables,Online,L,7/19/11,709864270,9/6/11
Asia,Taiwan,Vegetables,Online,H,1/29/16,889580428,3/14/16
Middle East and North Africa,Azerbaijan,Beverages,Offline,L,5/29/12,181120622,6/22/12
Sub-Saharan Africa,Niger,Vegetables,Offline,L,2/15/11,662658679,3/1/11
Europe,Austria,Personal Care,Offline,M,4/16/16,432680928,4/25/16
Asia,Maldives,Snacks,Offline,L,2/11/14,359986197,3/21/14
Central America and the Caribbean,Nicaragua,Beverages,Offline,H,8/1/14,933685815,9/14/14
Sub-Saharan Africa,Guinea-Bissau,Household,Offline,H,5/22/17,913203608,5/31/17
Middle East and North Africa,Saudi Arabia,Beverages,Online,L,9/19/15,478275907,10/17/15
Asia,Singapore,Vegetables,Offline,H,3/5/15,778951537,4/10/15
Europe,Latvia,Meat,Online,L,11/12/14,785591828,12/8/14
Europe,Slovenia,Cereal,Offline,L,3/4/11,438870608,4/10/11
Sub-Saharan Africa,Botswana,Office Supplies,Online,H,9/5/16,199774205,9/19/16
Central America and the Caribbean,Guatemala,Baby Food,Offline,L,12/20/10,599601447,2/3/11
Sub-Saharan Africa,Seychelles ,Baby Food,Online,L,7/18/12,889963662,8/17/12
Europe,Ireland,Snacks,Offline,C,6/24/14,392784678,6/29/14
Asia,Brunei,Office Supplies,Online,H,11/25/10,750300824,12/19/10
Australia and Oceania,Tuvalu,Baby Food,Offline,M,12/8/15,975060927,1/2/16
Europe,Moldova ,Personal Care,Online,C,6/28/14,599926316,7/8/14
Sub-Saharan Africa,Senegal,Baby Food,Offline,M,6/18/11,128070819,7/11/11
Sub-Saharan Africa,Angola,Cereal,Online,M,10/24/12,582980763,11/9/12
Central America and the Caribbean,Trinidad and Tobago,Household,Offline,C,3/21/14,358454978,4/22/14
Europe,Ukraine,Office Supplies,Offline,C,5/30/12,168604791,6/27/12
Europe,Croatia,Beverages,Offline,C,7/19/16,797854030,9/5/16
Asia,India,Household,Online,H,2/19/14,850939023,4/8/14
Asia,Brunei,Cosmetics,Online,M,9/5/12,802908599,9/30/12
Europe,Ukraine,Clothes,Offline,C,3/4/13,749124085,4/12/13
Middle East and North Africa,Egypt,Clothes,Online,M,11/20/13,855259311,12/27/13
Europe,Ukraine,Vegetables,Online,H,2/28/14,907300603,3/28/14
Europe,Romania,Household,Online,H,8/12/10,761546790,8/24/10
Sub-Saharan Africa,Nigeria,Clothes,Offline,C,1/25/16,794609200,1/26/16
Sub-Saharan Africa,Namibia,Clothes,Online,H,5/5/10,553411662,6/22/10
North America,Canada,Vegetables,Offline,C,3/5/12,105190503,3/18/12
Europe,Moldova ,Office Supplies,Online,H,11/17/14,487494552,11/17/14
Sub-Saharan Africa,Tanzania,Clothes,Online,L,10/23/12,558185136,11/16/12
Sub-Saharan Africa,Cape Verde,Cereal,Offline,C,10/9/12,145436084,11/17/12
Europe,San Marino,Snacks,Offline,H,1/17/15,497733724,1/28/15
Europe,Belgium,Household,Offline,H,3/11/17,233876883,4/28/17
Asia,Myanmar,Beverages,Offline,C,4/8/10,292976891,4/22/10
Middle East and North Africa,Egypt,Cereal,Online,C,11/24/12,784457576,12/13/12
Sub-Saharan Africa,Guinea,Cosmetics,Online,H,6/25/14,538055264,7/27/14
Europe,Serbia,Household,Offline,M,11/4/16,253818786,11/15/16
Sub-Saharan Africa,Mozambique,Meat,Online,C,4/19/15,252109467,5/18/15
Sub-Saharan Africa,Benin,Snacks,Online,H,1/3/10,923601138,2/16/10
Sub-Saharan Africa,Malawi,Meat,Offline,M,5/9/17,479280126,6/9/17
Europe,Latvia,Meat,Online,C,2/15/13,800445258,4/6/13
Europe,Switzerland,Personal Care,Online,H,1/17/12,688707864,2/12/12
Central America and the Caribbean,Dominican Republic,Personal Care,Offline,L,12/19/10,815991771,1/11/11
Australia and Oceania,Tuvalu,Baby Food,Online,L,5/18/15,574533307,6/3/15
Europe,Monaco,Personal Care,Offline,L,11/25/12,326881301,12/16/12
North America,United States of America,Personal Care,Online,L,12/13/14,955897080,12/27/14
Europe,France,Household,Online,M,1/23/15,714754474,2/5/15
Sub-Saharan Africa,Equatorial Guinea,Baby Food,Online,H,5/31/15,176939809,7/17/15
Asia,Bhutan,Beverages,Offline,L,6/17/15,886251914,7/20/15
Europe,Georgia,Personal Care,Online,H,9/23/15,406802117,9/24/15
Europe,Finland,Cosmetics,Online,M,1/4/14,873014247,1/27/14
Europe,Netherlands,Personal Care,Online,L,10/1/16,439624631,10/31/16
Europe,Vatican City,Snacks,Offline,H,7/7/12,931682097,8/19/12
Europe,Cyprus,Snacks,Offline,C,8/30/13,194547975,10/14/13
Australia and Oceania,Solomon Islands,Vegetables,Offline,C,9/5/14,643896090,9/15/14
North America,Canada,Baby Food,Online,C,2/10/11,715712773,3/5/11
Europe,Italy,Personal Care,Online,L,12/8/10,716296851,12/16/10
Sub-Saharan Africa,Sierra Leone,Meat,Online,C,8/17/15,572259652,8/19/15
Sub-Saharan Africa,Botswana,Office Supplies,Offline,L,5/8/16,280525004,6/9/16
Europe,Kosovo,Personal Care,Offline,L,12/4/12,358329236,1/7/13
Asia,Bhutan,Vegetables,Online,C,1/4/10,493221175,2/11/10
Europe,Latvia,Beverages,Online,H,5/1/13,893062150,6/2/13
Sub-Saharan Africa,Mauritius ,Household,Offline,C,10/2/10,936025989,11/17/10
Europe,Monaco,Office Supplies,Online,M,11/30/13,520599019,12/21/13
Sub-Saharan Africa,Lesotho,Vegetables,Online,M,8/6/16,515580070,9/14/16
