Region,Country,Item Type,Sales Channel,Order Priority,Order Date
Asia,Kyrgyzstan,Personal Care,Offline,H,6/18/10
Sub-Saharan Africa,Chad,Clothes,Online,H,7/18/11
Middle East and North Africa,Somalia,Cereal,Online,C,10/25/16
Sub-Saharan Africa,Togo,Clothes,Offline,L,2/11/10
Sub-Saharan Africa,Mali,Household,Online,L,3/17/14
Europe,San Marino,Snacks,Online,M,4/11/11
Europe,Croatia,Baby Food,Online,L,11/8/14
Asia,Taiwan,Baby Food,Offline,H,1/16/13
Central America and the Caribbean,Barbados,Meat,Offline,M,2/23/10
Sub-Saharan Africa,Equatorial Guinea,Cosmetics,Offline,H,4/30/15
Central America and the Caribbean,Guatemala,Vegetables,Online,M,2/3/16
Europe,United Kingdom,Household,Offline,L,5/12/12
Sub-Saharan Africa,Equatorial Guinea,Vegetables,Online,L,9/18/12
Sub-Saharan Africa,Tanzania,Snacks,Offline,L,6/2/15
Europe,Ukraine,Fruits,Offline,H,3/28/12
North America,Canada,Snacks,Offline,M,12/9/14
Sub-Saharan Africa,Eritrea,Office Supplies,Offline,M,8/17/13
Europe,Georgia,Fruits,Offline,L,11/2/10
Europe,Poland,Cereal,Online,C,3/1/10
North America,Mexico,Clothes,Online,C,6/27/12
Australia and Oceania,Papua New Guinea,Baby Food,Online,M,3/5/12
Europe,Ukraine,Meat,Offline,M,1/8/16
Sub-Saharan Africa,Niger,Beverages,Offline,L,9/24/16
Australia and Oceania,New Zealand,Household,Offline,H,11/16/11
Sub-Saharan Africa,Nigeria,Cosmetics,Online,M,3/22/15
Sub-Saharan Africa,Madagascar,Beverages,Offline,C,2/9/15
Asia,Kazakhstan,Baby Food,Online,M,1/30/16
Middle East and North Africa,Kuwait,Clothes,Online,C,5/20/12
Sub-Saharan Africa,Gabon,Fruits,Offline,L,6/26/14
Central America and the Caribbean,El Salvador,Personal Care,Online,C,12/21/14
Europe,Sweden,Personal Care,Offline,M,1/28/15
Sub-Saharan Africa,Angola,Vegetables,Online,L,4/24/13
Asia,Sri Lanka,Office Supplies,Online,L,10/28/16
Europe,Cyprus,Clothes,Online,C,11/22/14
Central America and the Caribbean,Honduras,Snacks,Offline,M,1/4/13
Sub-Saharan Africa,Ethiopia,Meat,Online,C,12/11/13
Europe,Denmark,Beverages,Online,M,12/16/13
Europe,Iceland,Household,Online,M,3/2/14
Sub-Saharan Africa,Liberia,Cereal,Online,L,9/28/16
Sub-Saharan Africa,South Africa,Meat,Online,H,7/29/13
Sub-Saharan Africa,Mali,Beverages,Online,L,10/2/12
Middle East and North Africa,Egypt,Personal Care,Online,C,1/30/12
Europe,Moldova ,Meat,Offline,C,6/3/10
Europe,Montenegro,Personal Care,Offline,H,6/28/11
Australia and Oceania,Nauru,Household,Online,L,6/30/12
Asia,Sri Lanka,Household,Offline,H,7/2/15
Australia and Oceania,Kiribati,Cosmetics,Offline,L,1/19/16
Sub-Saharan Africa,Senegal,Baby Food,Online,C,7/21/14
Middle East and North Africa,Iran,Office Supplies,Offline,M,6/23/12
Central America and the Caribbean,Grenada,Cosmetics,Online,M,2/20/16
Sub-Saharan Africa,Democratic Republic of the Congo,Meat,Online,M,3/16/10
Europe,Vatican City,Snacks,Offline,L,6/26/14
Sub-Saharan Africa,South Sudan,Vegetables,Online,C,12/26/11
Asia,North Korea,Vegetables,Offline,M,4/15/13
Middle East and North Africa,Jordan,Household,Offline,L,11/22/14
Sub-Saharan Africa,Sao Tome and Principe,Meat,Offline,M,7/28/10
Europe,Romania,Clothes,Offline,H,4/25/10
Sub-Saharan Africa,Seychelles ,Fruits,Online,M,10/24/13
Sub-Saharan Africa,Gabon,Clothes,Offline,H,4/4/14
Middle East and North Africa,Tunisia ,Cereal,Offline,C,4/1/17
Europe,France,Household,Offline,M,4/28/14
Europe,Montenegro,Fruits,Online,M,1/1/17
Sub-Saharan Africa,Mali,Cosmetics,Offline,C,2/28/15
Asia,Taiwan,Snacks,Online,L,2/3/11
Australia and Oceania,Fiji,Meat,Offline,M,9/25/15
Middle East and North Africa,Lebanon,Personal Care,Offline,M,7/29/14
Sub-Saharan Africa,Guinea,Baby Food,Offline,H,11/23/16
Sub-Saharan Africa,Sierra Leone,Baby Food,Online,H,2/8/14
Central America and the Caribbean,Honduras,Office Supplies,Offline,M,10/30/13
North America,Greenland,Vegetables,Offline,M,5/22/13
Asia,Indonesia,Meat,Offline,C,3/6/11
Sub-Saharan Africa,Togo,Clothes,Offline,C,6/9/10
Sub-Saharan Africa,Mauritius ,Personal Care,Online,H,6/24/15
Sub-Saharan Africa,Sierra Leone,Snacks,Offline,M,9/26/12
Asia,Cambodia,Beverages,Online,C,6/10/12
Central America and the Caribbean,Jamaica,Vegetables,Offline,L,7/9/14
Australia and Oceania,Kiribati,Vegetables,Online,C,5/24/12
Central America and the Caribbean,Dominican Republic,Vegetables,Offline,L,11/29/11
Asia,Tajikistan,Office Supplies,Online,M,5/28/12
Europe,Netherlands,Beverages,Offline,M,7/2/10
Europe,Iceland,Household,Offline,C,6/11/11
Asia,Taiwan,Beverages,Offline,C,3/14/10
Sub-Saharan Africa,Gabon,Fruits,Offline,L,5/12/10
Sub-Saharan Africa,Guinea-Bissau,Snacks,Online,M,10/23/12
North America,United States of America,Cereal,Online,L,11/30/11
Sub-Saharan Africa,Rwanda,Snacks,Offline,M,6/18/14
Europe,Cyprus,Household,Online,H,3/3/13
Asia,Brunei,Cosmetics,Online,M,3/4/13
Sub-Saharan Africa,Seychelles ,Personal Care,Offline,M,2/4/13
Middle East and North Africa,Jordan,Office Supplies,Online,C,6/3/16
Middle East and North Africa,Pakistan,Snacks,Online,M,7/20/12
Central America and the Caribbean,Barbados,Fruits,Offline,C,11/15/10
Sub-Saharan Africa,Comoros,Meat,Online,M,4/13/14
Central America and the Caribbean,The Bahamas,Clothes,Online,L,5/15/15
Sub-Saharan Africa,South Sudan,Baby Food,Online,H,5/13/15
Sub-Saharan Africa,Nigeria,Cosmetics,Offline,M,10/10/12
Europe,Ukraine,Beverages,Offline,M,10/4/14
Europe,France,Cosmetics,Online,C,8/2/10
Sub-Saharan Africa,Burundi,Office Supplies,Online,M,4/29/13
Middle East and North Africa,Syria,Vegetables,Offline,H,8/7/10
Sub-Saharan Africa,Botswana,Fruits,Online,L,10/25/13
Australia and Oceania,Papua New Guinea,Snacks,Offline,H,7/7/16
Asia,Kazakhstan,Cosmetics,Offline,M,4/20/13
Middle East and North Africa,Jordan,Clothes,Online,M,3/16/11
Central America and the Caribbean,Dominican Republic,Personal Care,Online,H,9/30/10
Sub-Saharan Africa,Namibia,Beverages,Online,C,4/19/17
Europe,Hungary,Household,Online,H,7/31/14
Asia,Malaysia,Snacks,Offline,C,11/18/13
Sub-Saharan Africa,Burundi,Cosmetics,Offline,L,5/30/12
Europe,Estonia,Clothes,Offline,C,3/24/12
Asia,Malaysia,Beverages,Offline,L,6/15/16
Europe,Bosnia and Herzegovina,Household,Offline,L,5/8/10
Europe,Finland,Fruits,Online,L,7/12/10
Sub-Saharan Africa,Tanzania,Office Supplies,Offline,H,9/26/15
North America,United States of America,Vegetables,Offline,C,8/21/10
Europe,Austria,Meat,Offline,C,1/16/15
Australia and Oceania,Tonga,Cereal,Online,L,12/17/11
Sub-Saharan Africa,Zambia,Fruits,Offline,C,12/21/11
Middle East and North Africa,Morocco,Baby Food,Online,C,7/27/11
Europe,Monaco,Personal Care,Online,M,2/9/12
Asia,Cambodia,Clothes,Online,H,12/31/15
Sub-Saharan Africa,Lesotho,Office Supplies,Offline,H,5/13/15
Europe,Portugal,Fruits,Online,L,12/18/10
Middle East and North Africa,Afghanistan,Cosmetics,Offline,M,12/23/15
Sub-Saharan Africa,Nigeria,Meat,Online,C,5/11/14
Australia and Oceania,Kiribati,Cereal,Offline,C,1/23/10
Sub-Saharan Africa,Comoros,Cosmetics,Offline,M,9/7/15
Sub-Saharan Africa,Namibia,Vegetables,Offline,C,10/17/10
Sub-Saharan Africa,Sierra Leone,Household,Online,C,11/25/13
Sub-Saharan Africa,The Gambia,Personal Care,Online,C,7/3/10
Europe,Germany,Cereal,Online,C,6/12/17
Sub-Saharan Africa,Tanzania,Office Supplies,Offline,H,12/31/10
Europe,Slovenia,Office Supplies,Offline,M,12/3/13
Sub-Saharan Africa,Benin,Cereal,Offline,L,12/22/15
Sub-Saharan Africa,Mauritius ,Cosmetics,Offline,M,7/18/15
Sub-Saharan Africa,Ethiopia,Personal Care,Online,L,11/17/15
Asia,Turkmenistan,Beverages,Online,M,9/15/13
Asia,Kyrgyzstan,Clothes,Offline,C,8/14/10
Europe,Slovenia,Household,Online,C,11/2/16
Sub-Saharan Africa,Lesotho,Cosmetics,Online,C,2/24/17
Middle East and North Africa,Jordan,Office Supplies,Offline,L,7/19/12
Europe,France,Beverages,Offline,C,6/13/16
Sub-Saharan Africa,Lesotho,Clothes,Online,H,1/17/13
Europe,Malta,Cosmetics,Offline,L,2/8/14
Asia,Maldives,Cosmetics,Online,L,4/21/17
Australia and Oceania,Marshall Islands,Clothes,Online,M,1/12/10
Asia,Sri Lanka,Household,Online,L,1/12/11
Asia,Laos,Baby Food,Offline,H,8/10/13
Middle East and North Africa,Jordan,Vegetables,Online,H,2/16/12
Middle East and North Africa,Somalia,Office Supplies,Offline,M,5/19/13
Sub-Saharan Africa,Sierra Leone,Household,Online,H,1/31/10
Asia,Tajikistan,Snacks,Online,H,12/11/14
Australia and Oceania,Marshall Islands,Cosmetics,Online,C,6/12/11
Central America and the Caribbean,Saint Vincent and the Grenadines,Cosmetics,Online,H,8/21/10
Europe,Romania,Beverages,Online,L,1/24/17
Australia and Oceania,Tuvalu,Snacks,Online,C,5/29/17
Sub-Saharan Africa,Equatorial Guinea,Beverages,Offline,L,7/21/14
Central America and the Caribbean,Cuba,Cosmetics,Online,L,3/27/16
Europe,Bulgaria,Household,Online,H,2/14/16
Asia,Myanmar,Fruits,Online,M,9/18/12
Australia and Oceania,Solomon Islands,Household,Online,L,3/1/13
Europe,Montenegro,Snacks,Online,H,4/29/14
Sub-Saharan Africa,Malawi,Cereal,Online,C,2/11/14
Sub-Saharan Africa,Mali,Vegetables,Online,L,4/20/15
Asia,Maldives,Snacks,Online,M,2/23/14
Central America and the Caribbean,Nicaragua,Cosmetics,Offline,H,10/7/11
Europe,Germany,Meat,Offline,L,5/2/10
Central America and the Caribbean,Belize,Fruits,Offline,C,11/18/16
Europe,Montenegro,Meat,Offline,C,10/14/16
Central America and the Caribbean,Antigua and Barbuda ,Office Supplies,Online,C,6/2/15
Europe,Ireland,Baby Food,Online,C,8/23/11
Sub-Saharan Africa,Guinea,Fruits,Offline,L,9/30/16
Europe,Russia,Beverages,Online,H,10/19/12
Central America and the Caribbean,Nicaragua,Beverages,Online,L,1/1/17
Middle East and North Africa,Yemen,Beverages,Offline,H,5/1/17
Sub-Saharan Africa,Mauritania,Meat,Online,M,3/12/14
Central America and the Caribbean,Costa Rica,Vegetables,Offline,H,8/17/16
Middle East and North Africa,Tunisia ,Snacks,Online,H,10/22/15
Europe,Montenegro,Vegetables,Online,L,7/19/11
Asia,Taiwan,Vegetables,Online,H,1/29/16
Middle East and North Africa,Azerbaijan,Beverages,Offline,L,5/29/12
Sub-Saharan Africa,Niger,Vegetables,Offline,L,2/15/11
Europe,Austria,Personal Care,Offline,M,4/16/16
Asia,Maldives,Snacks,Offline,L,2/11/14
Central America and the Caribbean,Nicaragua,Beverages,Offline,H,8/1/14
Sub-Saharan Africa,Guinea-Bissau,Household,Offline,H,5/22/17
Middle East and North Africa,Saudi Arabia,Beverages,Online,L,9/19/15
Asia,Singapore,Vegetables,Offline,H,3/5/15
Europe,Latvia,Meat,Online,L,11/12/14
Europe,Slovenia,Cereal,Offline,L,3/4/11
Sub-Saharan Africa,Botswana,Office Supplies,Online,H,9/5/16
Central America and the Caribbean,Guatemala,Baby Food,Offline,L,12/20/10
Sub-Saharan Africa,Seychelles ,Baby Food,Online,L,7/18/12
Europe,Ireland,Snacks,Offline,C,6/24/14
Asia,Brunei,Office Supplies,Online,H,11/25/10
Australia and Oceania,Tuvalu,Baby Food,Offline,M,12/8/15
Europe,Moldova ,Personal Care,Online,C,6/28/14
Sub-Saharan Africa,Senegal,Baby Food,Offline,M,6/18/11
Sub-Saharan Africa,Angola,Cereal,Online,M,10/24/12
Central America and the Caribbean,Trinidad and Tobago,Household,Offline,C,3/21/14
Europe,Ukraine,Office Supplies,Offline,C,5/30/12
Europe,Croatia,Beverages,Offline,C,7/19/16
Asia,India,Household,Online,H,2/19/14
Asia,Brunei,Cosmetics,Online,M,9/5/12
Europe,Ukraine,Clothes,Offline,C,3/4/13
Middle East and North Africa,Egypt,Clothes,Online,M,11/20/13
Europe,Ukraine,Vegetables,Online,H,2/28/14
Europe,Romania,Household,Online,H,8/12/10
Sub-Saharan Africa,Nigeria,Clothes,Offline,C,1/25/16
Sub-Saharan Africa,Namibia,Clothes,Online,H,5/5/10
North America,Canada,Vegetables,Offline,C,3/5/12
Europe,Moldova ,Office Supplies,Online,H,11/17/14
Sub-Saharan Africa,Tanzania,Clothes,Online,L,10/23/12
Sub-Saharan Africa,Cape Verde,Cereal,Offline,C,10/9/12
Europe,San Marino,Snacks,Offline,H,1/17/15
Europe,Belgium,Household,Offline,H,3/11/17
Asia,Myanmar,Beverages,Offline,C,4/8/10
Middle East and North Africa,Egypt,Cereal,Online,C,11/24/12
Sub-Saharan Africa,Guinea,Cosmetics,Online,H,6/25/14
Europe,Serbia,Household,Offline,M,11/4/16
Sub-Saharan Africa,Mozambique,Meat,Online,C,4/19/15
Sub-Saharan Africa,Benin,Snacks,Online,H,1/3/10
Sub-Saharan Africa,Malawi,Meat,Offline,M,5/9/17
Europe,Latvia,Meat,Online,C,2/15/13
Europe,Switzerland,Personal Care,Online,H,1/17/12
Central America and the Caribbean,Dominican Republic,Personal Care,Offline,L,12/19/10
Australia and Oceania,Tuvalu,Baby Food,Online,L,5/18/15
Europe,Monaco,Personal Care,Offline,L,11/25/12
North America,United States of America,Personal Care,Online,L,12/13/14
Europe,France,Household,Online,M,1/23/15
Sub-Saharan Africa,Equatorial Guinea,Baby Food,Online,H,5/31/15
Asia,Bhutan,Beverages,Offline,L,6/17/15
Europe,Georgia,Personal Care,Online,H,9/23/15
Europe,Finland,Cosmetics,Online,M,1/4/14
Europe,Netherlands,Personal Care,Online,L,10/1/16
Europe,Vatican City,Snacks,Offline,H,7/7/12
Europe,Cyprus,Snacks,Offline,C,8/30/13
Australia and Oceania,Solomon Islands,Vegetables,Offline,C,9/5/14
North America,Canada,Baby Food,Online,C,2/10/11
Europe,Italy,Personal Care,Online,L,12/8/10
Sub-Saharan Africa,Sierra Leone,Meat,Online,C,8/17/15
Sub-Saharan Africa,Botswana,Office Supplies,Offline,L,5/8/16
Europe,Kosovo,Personal Care,Offline,L,12/4/12
Asia,Bhutan,Vegetables,Online,C,1/4/10
Europe,Latvia,Beverages,Online,H,5/1/13
Sub-Saharan Africa,Mauritius ,Household,Offline,C,10/2/10
Europe,Monaco,Office Supplies,Online,M,11/30/13
Sub-Saharan Africa,Lesotho,Vegetables,Online,M,8/6/16
Europe,Bosnia and Herzegovina,Fruits,Offline,L,8/22/13
Sub-Saharan Africa,Namibia,Cosmetics,Online,M,4/24/12
Asia,Laos,Clothes,Offline,C,5/14/13
Asia,Turkmenistan,Clothes,Offline,M,11/5/14
Asia,Brunei,Clothes,Online,L,11/6/15
Asia,Sri Lanka,Vegetables,Online,L,10/1/12
Sub-Saharan Africa,Central African Republic,Snacks,Offline,H,7/29/10
Europe,Netherlands,Snacks,Offline,C,8/14/11
Australia and Oceania,Australia,Meat,Offline,C,8/31/11
Asia,Laos,Cosmetics,Offline,H,5/11/11
Sub-Saharan Africa,Djibouti,Beverages,Offline,M,5/25/12
Asia,Vietnam,Snacks,Online,C,10/9/13
Europe,Moldova ,Beverages,Online,L,7/13/15
Asia,Singapore,Cereal,Offline,H,12/29/14
Central America and the Caribbean,Costa Rica,Cosmetics,Offline,M,7/22/10
Central America and the Caribbean,Nicaragua,Beverages,Online,M,1/12/13
Australia and Oceania,Nauru,Cereal,Offline,L,8/3/11
Central America and the Caribbean,Panama,Cosmetics,Offline,C,5/18/15
Central America and the Caribbean,Nicaragua,Clothes,Offline,L,11/28/11
Europe,Belgium,Vegetables,Offline,M,4/4/16
Sub-Saharan Africa,Togo,Fruits,Online,H,4/10/14
Asia,South Korea,Clothes,Online,H,10/19/11
Europe,Bulgaria,Baby Food,Online,L,10/1/15
Central America and the Caribbean,Costa Rica,Vegetables,Online,H,3/2/15
Sub-Saharan Africa,Angola,Personal Care,Online,H,4/21/15
Sub-Saharan Africa,Kenya,Beverages,Offline,H,2/14/11
Asia,Brunei,Cereal,Online,L,10/17/13
Sub-Saharan Africa,Sao Tome and Principe,Cereal,Online,M,8/14/16
Sub-Saharan Africa,Angola,Office Supplies,Online,C,12/20/13
Middle East and North Africa,Libya,Baby Food,Online,L,8/20/12
Middle East and North Africa,Algeria,Fruits,Offline,L,11/26/12
North America,Greenland,Clothes,Online,M,5/3/12
Europe,Belarus,Beverages,Offline,C,2/18/17
Sub-Saharan Africa,Gabon,Cosmetics,Online,C,8/19/15
Asia,Turkmenistan,Personal Care,Online,C,5/16/12
Asia,Japan,Household,Online,H,10/2/16
Australia and Oceania,Papua New Guinea,Fruits,Offline,L,7/7/16
Sub-Saharan Africa,Mauritius ,Personal Care,Offline,C,10/29/11
Europe,Germany,Meat,Offline,H,6/27/11
Sub-Saharan Africa,Ghana,Baby Food,Online,L,1/4/14
Asia,Philippines,Clothes,Online,C,5/27/11
Sub-Saharan Africa,Mali,Personal Care,Offline,M,8/26/15
Middle East and North Africa,Somalia,Cereal,Online,L,2/10/17
Asia,Tajikistan,Beverages,Offline,C,12/23/10
Asia,Maldives,Meat,Online,C,3/23/16
Asia,Turkmenistan,Vegetables,Online,C,4/4/11
Middle East and North Africa,Iran,Personal Care,Online,H,5/22/13
Europe,Switzerland,Clothes,Online,C,7/6/14
Europe,Czech Republic,Snacks,Offline,L,2/20/15
Middle East and North Africa,Jordan,Baby Food,Offline,H,1/28/13
Central America and the Caribbean,Costa Rica,Fruits,Online,C,10/4/14
Europe,Finland,Household,Online,L,4/30/16
Middle East and North Africa,Saudi Arabia,Beverages,Online,C,12/31/14
Europe,Latvia,Beverages,Online,M,10/28/12
Sub-Saharan Africa,Sao Tome and Principe,Vegetables,Online,C,12/7/12
Asia,China,Snacks,Online,M,9/23/15
Middle East and North Africa,Pakistan,Beverages,Offline,C,2/6/15
Middle East and North Africa,Algeria,Fruits,Online,M,5/15/17
Europe,Liechtenstein,Beverages,Offline,C,10/12/14
Australia and Oceania,New Zealand,Personal Care,Online,C,12/28/11
Sub-Saharan Africa,Cameroon,Cosmetics,Offline,C,9/23/14
Sub-Saharan Africa,Sierra Leone,Cosmetics,Online,H,11/8/10
Central America and the Caribbean,Saint Kitts and Nevis ,Vegetables,Online,M,1/5/12
Central America and the Caribbean,Antigua and Barbuda ,Baby Food,Online,M,12/25/11
Asia,Kazakhstan,Snacks,Online,M,3/4/13
Australia and Oceania,Marshall Islands,Beverages,Online,H,4/14/15
Australia and Oceania,Palau,Clothes,Offline,M,6/30/11
Middle East and North Africa,Morocco,Vegetables,Offline,C,12/28/14
Sub-Saharan Africa,Cape Verde,Cereal,Online,C,4/20/17
Sub-Saharan Africa,Liberia,Household,Online,C,10/21/14
Sub-Saharan Africa,Lesotho,Meat,Offline,M,7/8/12
Europe,France,Beverages,Offline,H,9/26/12
Asia,Japan,Fruits,Offline,M,4/3/11
Sub-Saharan Africa,Mauritania,Clothes,Offline,L,4/12/16
Europe,Switzerland,Personal Care,Offline,H,5/15/14
Europe,Greece,Snacks,Online,L,2/1/12
Europe,Slovenia,Office Supplies,Offline,L,1/16/17
Europe,Macedonia,Vegetables,Offline,M,6/5/11
North America,Mexico,Office Supplies,Online,C,5/5/16
Sub-Saharan Africa,Angola,Office Supplies,Offline,H,4/27/12
Europe,Portugal,Beverages,Online,L,3/28/11
Asia,Brunei,Household,Online,M,9/5/14
Europe,Belarus,Cereal,Offline,M,2/25/10
Central America and the Caribbean,Saint Vincent and the Grenadines,Clothes,Online,L,9/25/12
Europe,Finland,Beverages,Online,C,11/5/15
Asia,Bangladesh,Beverages,Offline,M,3/9/10
Middle East and North Africa,Azerbaijan,Beverages,Offline,M,3/28/10
Sub-Saharan Africa,Eritrea,Cosmetics,Offline,M,8/14/12
North America,United States of America,Personal Care,Offline,C,1/5/15
Sub-Saharan Africa,Liberia,Vegetables,Online,M,5/17/12
Central America and the Caribbean,The Bahamas,Cereal,Online,L,11/19/15
Europe,Denmark,Snacks,Online,H,4/6/11
Europe,Slovakia,Fruits,Offline,H,8/8/15
Sub-Saharan Africa,Liberia,Cereal,Offline,L,12/22/12
Sub-Saharan Africa,Swaziland,Clothes,Offline,L,3/28/11
Sub-Saharan Africa,Niger,Baby Food,Offline,H,7/13/15
Central America and the Caribbean,Barbados,Cereal,Online,M,11/25/16
Europe,Liechtenstein,Office Supplies,Online,H,4/7/11
Central America and the Caribbean,The Bahamas,Fruits,Online,H,9/26/10
Central America and the Caribbean,Trinidad and Tobago,Snacks,Offline,H,2/18/17
Middle East and North Africa,Iraq,Fruits,Offline,L,8/19/10
Asia,India,Personal Care,Offline,C,2/11/14
Australia and Oceania,Solomon Islands,Household,Online,H,8/31/13
Middle East and North Africa,Kuwait,Household,Online,L,5/15/15
Sub-Saharan Africa,Ethiopia,Baby Food,Online,H,3/24/11
Asia,Myanmar,Clothes,Online,L,3/28/13
North America,United States of America,Office Supplies,Online,C,9/30/11
Sub-Saharan Africa,South Africa,Personal Care,Offline,M,2/4/17
Sub-Saharan Africa,Botswana,Household,Offline,L,5/28/10
Australia and Oceania,Samoa ,Fruits,Offline,C,7/2/15
Sub-Saharan Africa,Burkina Faso,Meat,Offline,H,11/4/11
Asia,Maldives,Snacks,Offline,H,1/13/14
Europe,Germany,Fruits,Online,M,1/10/15
